26年春季考试招生计划及分数参考,,
院校名称,专业名称,最低分
玉溪农业职业技术学院,现代文秘,419
玉溪农业职业技术学院,农业电气化技术,437
玉溪农业职业技术学院,物联网应用技术,425
玉溪农业职业技术学院,计算机应用技术,433
玉溪农业职业技术学院,计算机网络技术,430
玉溪农业职业技术学院,信息安全技术应用,427
云南交通运输职业学校,汽车技术服务与营销,498
云南交通运输职业学校,新能源汽车技术,509
云南交通运输职业学校,汽车制造与试验技术,497
云南交通运输职业学校,新能源汽车检测与维修技术,489
云南交通运输职业学校,汽车造型与改装技术,477
云南交通运输职业学校,道路养护与管理,462
云南交通运输职业学校,道路机械化施工技术,458
云南交通运输职业学校,工程造价,441
云南交通运输职业学校,土木工程检测技术,446
云南交通运输职业学校,道路与桥梁工程技术,457
云南交通运输职业学校,智能工程机械运用技术,466
云南交通运输职业学校,航海技术,498
云南交通运输职业学校,轮机工程技术,501
云南交通运输职业学校,港口物流管理,497
云南交通运输职业学校,港口与航运管理,486
云南交通运输职业学校,国际邮轮乘务管理,463
云南交通运输职业学校,飞机机电设备维惨,504
云南交通运输职业学校,无人机应用技术,496
云南交通运输职业学校,通用航空器维修,492
云南交通运输职业学校,民航运输服务,475
云南交通运输职业学校,飞行器数字化制造技术,471
云南交通运输职业学校,软件技术,452
云南交通运输职业学校,汽车智能技术,461
云南交通运输职业学校,大数据技术,439
云南交通运输职业学校,智能交通技术,485
云南交通运输职业学校,智能网联汽车技术,476
云南交通运输职业学校,城市轨道交通运营管理,481
云南交通运输职业学校,铁道通信与信息化技术,503
云南交通运输职业学校,铁道车辆技术,516
云南交通运输职业学校,铁道交通运营管理,507
云南交通运输职业学校,智慧健康养老服务与管理,448
云南交通运输职业学校,休闲服务与管理,451
云南交通运输职业学校,现代家政服务与管理,453
云南交通运输职业学校,酒店管理与数字化运营,441
云南工贸职业技术学院,智能产品开发与应用,456
云南工贸职业技术学院,数控技术,457
云南工贸职业技术学院,工业机器人技术,455
云南工贸职业技术学院,机电一体化技术,452
云南工贸职业技术学院,电气自动化技术,447
云南工贸职业技术学院,机械制造及自动化,450
云南工贸职业技术学院,软件技术,436
云南工贸职业技术学院,信息安全技术应用,439
云南工贸职业技术学院,数字媒体技术,431
云南工贸职业技术学院,云计算技术应用,438
云南工贸职业技术学院,现代通信技术,419
云南工贸职业技术学院,智能互联网络技术,425
云南工贸职业技术学院,应用化工技术,411
云南工贸职业技术学院,食品质量与安全,413
云南工贸职业技术学院,水环境智能监测与治理,418
云南工贸职业技术学院,药品生产技术,428
云南工贸职业技术学院,中药材生产与加工,421
云南工贸职业技术学院,健康管理,416
云南工贸职业技术学院,婴幼儿托育服务与管理,426
云南工贸职业技术学院,烹饪工艺与营养,428
云南工贸职业技术学院,食品营养与健康,417
云南工贸职业技术学院,智慧健康养老服务与管理,411
云南工贸职业技术学院,社区康复,413
云南工贸职业技术学院,汽车检测与维修技术,426
云南工贸职业技术学院,新能源汽车技术,425
云南工贸职业技术学院,新能源汽车检测与维修技术,436
云南工贸职业技术学院,环境艺术设计,413
云南工贸职业技术学院,建筑装饰工程技术,429
云南工贸职业技术学院,建筑工程技术,416
云南工贸职业技术学院,工艺美术品设计,407
西双版纳职业技术学院,供用电技术,485
西双版纳职业技术学院,新能源汽车技术,457
西双版纳职业技术学院,学前教育,447
西双版纳职业技术学院,早期教育,443
西双版纳职业技术学院,法律事务,467
西双版纳职业技术学院,应用杂语,426
西双版纳职业技术学院,应用外语(老挝语),421
西双版纳职业技术学院,应用外语(缅甸语),429
西双版纳职业技术学院,应用英语,427
西双版纳职业技术学院,中文,436
西双版纳职业技术学院,护理,447
西双版纳职业技术学院,康复治疗技术,441
西双版纳职业技术学院,药学,448
西双版纳职业技术学院,畜牧兽医,451
西双版纳职业技术学院,林业技术,446
西双版纳职业技术学院,现代农业技术,450
西双版纳职业技术学院,植物保护与检疫技术,436
西双版纳职业技术学院,茶叶生产与加工技术,497
西双版纳职业技术学院,食品质量与安全,431
西双版纳职业技术学院,国际经济与贸易,451
西双版纳职业技术学院,大数据与会计旅游管理,440
西双版纳职业技术学院,跨境电子商务,446
西双版纳职业技术学院,酒店管理与数字化远营,437
西双版纳职业技术学院,现代物流管理,439
西双版纳职业技术学院,计算机应用技术,452
