2026云南省春季高考招生院校、专业及预测分数,,,,
院校,专业,,,
云南交通运输职业学院,现代家政服务与管理,,,
云南交通运输职业学院,酒店管理与数字化运营,,,
云南体育运动职业技术学院,运动训练,,,
云南体育运动职业技术学院,体育教育,,,
云南体育运动职业技术学院,民族传统体育,,,
云南体育运动职业技术学院,体育保健与康复,,,
云南体育运动职业技术学院,社会体育,,,
云南体育运动职业技术学院,健身指导与管理,,,
云南体育运动职业技术学院,运动健康指导,,,
云南体育运动职业技术学院,运动数据分析,,,
云南体育运动职业技术学院,高尔夫球运动与管理,,,
云南体育运动职业技术学院,无人机应用技术,,,
云南体育运动职业技术学院,飞行器维修技术,,,
云南体育运动职业技术学院,康复治疗技术,,,
云南体育运动职业技术学院,新闻采编与制作,,,
云南体育运动职业技术学院,食品营养与健康,,,
云南体育运动职业技术学院,休闲服务与管理,,,
云南农业职业技术学院,测绘地理信息技术,,,
云南农业职业技术学院,宠物养护与训导,,,
云南农业职业技术学院,大数据技术,,,
云南农业职业技术学院,风景园林设计,,,
云南农业职业技术学院,工程测量技术,,,
云南农业职业技术学院,工程造价,,,
云南农业职业技术学院,花卉生产与花艺,,,
云南农业职业技术学院,环境艺术设计,,,
云南农业职业技术学院,供应链运营,,,
云南农业职业技术学院,计算机网络技术,,,
云南农业职业技术学院,计算机应用技术,,,
云南农业职业技术学院,酒店管理与数字化运营,,,
云南农业职业技术学院,冷链物流技术与管理,,,
云南农业职业技术学院,林业技术,,,
云南农业职业技术学院,农产品加工与质量检测,,,
云南农业职业技术学院,烹饪工艺与营养,,,
云南农业职业技术学院,汽车检测与维修技术,,,
云南农业职业技术学院,食品质量与安全,,,
云南农业职业技术学院,市场营销,,,
云南农业职业技术学院,水产养殖技术,,,
云南农业职业技术学院,现代农业经济管理,,,
云南农业职业技术学院,行政管理,,,
云南农业职业技术学院,烟草栽培与加工技术,,,
云南农业职业技术学院,药品经营与管理,,,
云南农业职业技术学院,药品生产技术,,,
云南农业职业技术学院,园林技术,,,
云南国土资源职业学院,测绘地理信息技术,,,
云南国土资源职业学院,地籍测绘与土地管理,,,
云南国土资源职业学院,国土空间规划与测绘,,,
云南国土资源职业学院,导航与位置服务,,,
云南国土资源职业学院,摄影测量与遥感技术,,,
云南国土资源职业学院,测绘工程技术,,,
云南国土资源职业学院,数控技术,,,
云南国土资源职业学院,汽车电子技术,,,
云南国土资源职业学院,工业机器人技术,,,
云南国土资源职业学院,智能控制技术,,,
云南国土资源职业学院,土木工程检测技术,,,
云南国土资源职业学院,建筑材料工程技术,,,
云南国土资源职业学院,地下与隧道工程技术,,,
云南国土资源职业学院,建设工程管理,,,
云南国土资源职业学院,建筑装饰工程技术,,,
云南国土资源职业学院,数字媒体技术,,,
云南国土资源职业学院,全媒体广告策划与营销,,,
云南国土资源职业学院,移动互联应用技术,,,
云南国土资源职业学院,统计与会计核算,,,
云南国土资源职业学院,市场营销,,,
云南国土资源职业学院,跨境电子商务,,,
云南国土资源职业学院,宝玉石鉴定与加工,,,
云南国土资源职业学院,雕刻艺术设计,,,
云南国土资源职业学院,首饰设计与工艺,,,
云南国土资源职业学院,旅游管理,,,
云南国土资源职业学院,酒店管理与数字化运营,,,
云南国土资源职业学院,休闲服务与管理,,,
